"OP_UNIQUE_CARRIER","ARR_DELAY","DISTANCE"
"AA",-10.00,936.00
"AA",2.00,936.00
"AA",-6.00,936.00
"AA",-6.00,936.00
"AA",-19.00,936.00
"AA",-4.00,936.00
"AA",-9.00,936.00
"AA",2.00,936.00
"AA",,936.00
"AA",-26.00,936.00
"AA",-13.00,936.00
"AA",-38.00,936.00
"AA",10.00,936.00
"AA",12.00,936.00
"AA",4.00,936.00
"AA",-1.00,936.00
"AA",5.00,936.00
"AA",-3.00,936.00
"AA",-11.00,936.00
"AA",4.00,936.00
"AA",57.00,936.00
"AA",-15.00,936.00
"AA",-4.00,936.00
"AA",19.00,544.00
"AA",247.00,544.00
"AA",70.00,544.00
"AA",,544.00
"AA",-14.00,544.00
"AA",-28.00,544.00
"AA",-23.00,544.00
"AA",37.00,544.00
"AA",-26.00,544.00
"AA",-39.00,544.00
"AA",-14.00,544.00
"AA",-19.00,544.00
"AA",-21.00,544.00
"AA",-22.00,544.00
"AA",-29.00,544.00
"AA",-22.00,544.00
"AA",105.00,544.00
"AA",1.00,544.00
"AA",-21.00,544.00
"AA",-43.00,544.00
"AA",-23.00,544.00
"AA",-28.00,544.00
"AA",-22.00,544.00
"AA",23.00,544.00
"AA",-5.00,544.00
"AA",-9.00,544.00
"AA",-45.00,544.00
"AA",-9.00,544.00
"AA",-8.00,544.00
"AA",-27.00,544.00
"AA",-40.00,544.00
"AA",3.00,936.00
"AA",12.00,936.00
"AA",58.00,936.00
"AA",40.00,936.00
"AA",19.00,936.00
"AA",-13.00,936.00
"AA",4.00,936.00
"AA",-14.00,936.00
"AA",-16.00,936.00
"AA",-18.00,936.00
"AA",-7.00,936.00
"AA",81.00,936.00
"AA",-9.00,936.00
"AA",-7.00,936.00
"AA",-4.00,936.00
"AA",-6.00,936.00
"AA",208.00,936.00
"AA",-24.00,936.00
"AA",-15.00,936.00
"AA",-21.00,936.00
"AA",71.00,936.00
"AA",2.00,936.00
"AA",-5.00,936.00
"AA",-5.00,936.00
"AA",-7.00,936.00
"AA",-8.00,936.00
"AA",-8.00,936.00
"AA",2.00,936.00
"AA",0.00,936.00
"AA",-14.00,936.00
"AA",-15.00,936.00
"AA",0.00,678.00
"AA",22.00,678.00
"AA",24.00,678.00
"AA",,678.00
"AA",28.00,678.00
"AA",37.00,678.00
"AA",190.00,678.00
"AA",131.00,678.00
"AA",11.00,678.00
"AA",1.00,678.00
"AA",3.00,678.00
"AA",1.00,678.00
"AA",1.00,678.00
"AA",22.00,678.00
"AA",48.00,678.00
"AA",21.00,678.00
"AA",-7.00,678.00
"AA",-2.00,678.00
"AA",-7.00,678.00
"AA",8.00,678.00
"AA",-16.00,678.00
"AA",-31.00,678.00
"AA",-8.00,678.00
"AA",-32.00,678.00
"AA",-16.00,678.00
"AA",3.00,678.00
"AA",-28.00,678.00
"AA",-1.00,678.00
"AA",-18.00,678.00
"AA",-28.00,678.00
"AA",-27.00,678.00
"AA",-4.00,1660.00
"AA",3.00,1660.00
"AA",44.00,1660.00
"AA",11.00,1660.00
"AA",3.00,1660.00
"AA",5.00,1660.00
"AA",-2.00,1660.00
"AA",-12.00,1660.00
"AA",-5.00,1660.00
"AA",15.00,1660.00
"AA",63.00,1660.00
"AA",9.00,1660.00
"AA",-14.00,1660.00
"AA",20.00,1660.00
"AA",-29.00,1660.00
"AA",-12.00,1660.00
"AA",-18.00,1660.00
"AA",6.00,1660.00
"AA",-3.00,1660.00
"AA",-7.00,1660.00
"AA",-4.00,1660.00
"AA",-14.00,1660.00
"AA",-22.00,1660.00
"AA",7.00,1660.00
"AA",2.00,1660.00
"AA",29.00,1660.00
"AA",8.00,1660.00
"AA",11.00,1660.00
"AA",26.00,2402.00
"AA",19.00,2402.00
"AA",17.00,2402.00
"AA",,2402.00
"AA",9.00,2402.00
"AA",33.00,2402.00
"AA",15.00,2402.00
"AA",7.00,2402.00
"AA",-39.00,2402.00
"AA",-22.00,2402.00
"AA",-5.00,2402.00
"AA",7.00,2402.00
"AA",,2402.00
"AA",-3.00,2402.00
"AA",7.00,2402.00
"AA",-8.00,2402.00
"AA",0.00,2402.00
"AA",-11.00,2402.00
"AA",-12.00,2402.00
"AA",-25.00,2402.00
"AA",47.00,2402.00
"AA",0.00,2402.00
"AA",-25.00,2402.00
"AA",1.00,2402.00
"AA",-22.00,2402.00
"AA",-21.00,2402.00
"AA",-9.00,2402.00
"AA",-1.00,2402.00
"AA",19.00,2402.00
"AA",-9.00,2402.00
"AA",-16.00,2402.00
"AA",-25.00,735.00
"AA",-20.00,735.00
"AA",-19.00,735.00
"AA",-20.00,735.00
"AA",-22.00,735.00
"AA",-13.00,735.00
"AA",-17.00,735.00
"AA",-15.00,843.00
"AA",12.00,843.00
"AA",-13.00,843.00
"AA",-9.00,843.00
"AA",-14.00,843.00
"AA",12.00,843.00
"AA",1.00,843.00
"AA",-10.00,843.00
"AA",7.00,843.00
"AA",3.00,843.00
"AA",-8.00,843.00
"AA",-20.00,843.00
"AA",,843.00
"AA",-7.00,843.00
"AA",3.00,843.00
"AA",-8.00,843.00
"AA",0.00,843.00
"AA",24.00,843.00
"AA",-1.00,843.00
"AA",-1.00,843.00
"AA",-10.00,843.00
"AA",9.00,843.00
"AA",-9.00,843.00
"AA",36.00,843.00
"AA",8.00,843.00
"AA",5.00,843.00
"AA",-17.00,843.00
"AA",-13.00,601.00
"AA",77.00,2279.00
"AA",-12.00,2279.00
"AA",-15.00,2279.00
"AA",17.00,2279.00
"AA",83.00,2279.00
"AA",-8.00,2279.00
"AA",10.00,2279.00
"AA",141.00,2279.00
"AA",-35.00,2279.00
"AA",-9.00,2279.00
"AA",-20.00,2279.00
"AA",147.00,2279.00
"AA",-13.00,2279.00
"AA",-13.00,2279.00
"AA",-17.00,2279.00
"AA",-44.00,2279.00
"AA",174.00,2279.00
"AA",-15.00,2279.00
"AA",-19.00,2279.00
"AA",-31.00,2279.00
"AA",-18.00,2279.00
"AA",-32.00,2279.00
"AA",-4.00,2279.00
"AA",4.00,2279.00
"AA",-10.00,2279.00
"AA",22.00,2279.00
"AA",-13.00,2279.00
"AA",-14.00,2279.00
"AA",11.00,2279.00
"AA",52.00,2279.00
"AA",-2.00,2279.00
"AA",-16.00,675.00
"AA",-5.00,675.00
"AA",-26.00,675.00
"AA",-27.00,675.00
"AA",-21.00,675.00
"AA",9.00,675.00
"AA",9.00,675.00
"AA",-19.00,675.00
"AA",-16.00,361.00
"AA",-17.00,1505.00
"AA",-35.00,1505.00
"AA",-5.00,2296.00
"AA",-21.00,2296.00
"AA",-13.00,2296.00
"AA",-6.00,2296.00
"AA",-5.00,2296.00
"AA",-14.00,2296.00
"AA",-12.00,2296.00
"AA",-11.00,2296.00
"AA",-2.00,2296.00
"AA",23.00,2296.00
"AA",0.00,2296.00
"AA",-3.00,2296.00
"AA",-22.00,2296.00
"AA",1.00,2296.00
"AA",-1.00,2296.00
"AA",-9.00,2296.00
"AA",0.00,2296.00
"AA",-21.00,2296.00
"AA",-1.00,2296.00
"AA",-4.00,2296.00
"AA",-6.00,2296.00
"AA",10.00,2296.00
"AA",2.00,2296.00
"AA",-7.00,2296.00
"AA",19.00,641.00
"AA",43.00,641.00
"AA",4.00,641.00
"AA",-4.00,641.00
"AA",5.00,641.00
"AA",-5.00,641.00
"AA",-2.00,641.00
"AA",-5.00,641.00
"AA",-10.00,641.00
"AA",-7.00,641.00
"AA",21.00,641.00
"AA",-3.00,641.00
"AA",-3.00,641.00
"AA",14.00,641.00
"AA",78.00,641.00
"AA",39.00,641.00
"AA",-3.00,641.00
"AA",-23.00,641.00
"AA",22.00,641.00
"AA",7.00,641.00
"AA",3.00,641.00
"AA",-14.00,641.00
"AA",5.00,641.00
"AA",-16.00,641.00
"AA",13.00,641.00
"AA",4.00,641.00
"AA",-9.00,641.00
"AA",18.00,370.00
"AA",1.00,370.00
"AA",-3.00,370.00
"AA",-17.00,370.00
"AA",-14.00,370.00
"AA",5.00,370.00
"AA",-17.00,370.00
"AA",-7.00,370.00
"AA",-14.00,370.00
"AA",6.00,370.00
"AA",-25.00,370.00
"AA",18.00,370.00
"AA",-23.00,370.00
"AA",-14.00,370.00
"AA",23.00,370.00
"AA",-32.00,370.00
"AA",-22.00,370.00
"AA",-16.00,370.00
"AA",-22.00,370.00
"AA",1.00,370.00
"AA",17.00,370.00
"AA",-12.00,370.00
"AA",-33.00,370.00
"AA",-8.00,868.00
"AA",3.00,868.00
"AA",-6.00,868.00
"AA",2.00,868.00
"AA",,868.00
"AA",11.00,868.00
"AA",26.00,868.00
"AA",1.00,868.00
"AA",11.00,868.00
"AA",15.00,868.00
"AA",6.00,868.00
"AA",5.00,868.00
"AA",-1.00,868.00
"AA",-4.00,868.00
"AA",-3.00,868.00
"AA",8.00,868.00
"AA",17.00,868.00
"AA",-10.00,868.00
"AA",-2.00,868.00
"AA",23.00,868.00
"AA",3.00,868.00
"AA",12.00,868.00
"AA",24.00,868.00
"AA",14.00,868.00
"AA",6.00,868.00
"AA",-4.00,868.00
"AA",-2.00,868.00
"AA",-2.00,868.00
"AA",-14.00,868.00
"AA",9.00,868.00
"AA",15.00,868.00
"AA",-11.00,735.00
"AA",-9.00,735.00
"AA",-2.00,735.00
"AA",-11.00,735.00
"AA",13.00,735.00
"AA",-3.00,735.00
"AA",-5.00,735.00
"AA",-26.00,1814.00
"AA",58.00,1814.00
"AA",-13.00,1814.00
"AA",52.00,1814.00
"AA",-28.00,1814.00
"AA",28.00,1814.00
"AA",13.00,1814.00
"AA",,1814.00
"AA",42.00,1814.00
"AA",-40.00,1814.00
"AA",-7.00,1814.00
"AA",-17.00,1814.00
"AA",-25.00,1814.00
"AA",-5.00,1814.00
"AA",87.00,1814.00
"AA",79.00,1814.00
"AA",-10.00,1814.00
"AA",62.00,1814.00
"AA",-16.00,1814.00
"AA",0.00,1814.00
"AA",-31.00,1972.00
"AA",39.00,507.00
"AA",-21.00,507.00
"AA",-9.00,507.00
"AA",-9.00,507.00
"AA",-12.00,507.00
"AA",-17.00,507.00
"AA",-9.00,507.00
"AA",-23.00,507.00
"AA",127.00,507.00
"AA",-11.00,507.00
"AA",-19.00,507.00
"AA",-16.00,507.00
"AA",-10.00,507.00
"AA",-7.00,507.00
"AA",-11.00,507.00
"AA",-23.00,507.00
"AA",-2.00,507.00
"AA",-9.00,507.00
"AA",-10.00,507.00
"AA",-11.00,507.00
"AA",-21.00,507.00
"AA",-6.00,1727.00
"AA",29.00,1727.00
"AA",26.00,1727.00
"AA",-21.00,1727.00
"AA",-8.00,1727.00
"AA",-7.00,1727.00
"AA",,1727.00
"AA",-21.00,1727.00
"AA",11.00,1727.00
"AA",-25.00,1727.00
"AA",-3.00,1727.00
"AA",7.00,1727.00
"AA",-4.00,1727.00
"AA",-19.00,1727.00
"AA",-43.00,1727.00
"AA",,1727.00
"AA",-12.00,1727.00
"AA",-4.00,1727.00
"AA",-2.00,1727.00
"AA",-15.00,1727.00
"AA",14.00,1727.00
"AA",-8.00,1727.00
"AA",-14.00,1727.00
"AA",-11.00,1727.00
"AA",15.00,1727.00
"AA",-2.00,1727.00
"AA",-1.00,1727.00
"AA",34.00,1727.00
"AA",-14.00,507.00
"AA",-1.00,507.00
"AA",9.00,507.00
"AA",-13.00,507.00
"AA",-20.00,507.00
"AA",-10.00,507.00
"AA",-9.00,507.00
"AA",-4.00,507.00
"AA",3.00,507.00
"AA",2.00,507.00
"AA",21.00,507.00
"AA",2.00,507.00
"AA",-7.00,507.00
"AA",-10.00,507.00
"AA",121.00,507.00
"AA",7.00,507.00
"AA",-6.00,507.00
"AA",-14.00,507.00
"AA",-4.00,507.00
"AA",1.00,507.00
"AA",-2.00,507.00
"AA",-3.00,507.00
"AA",13.00,507.00
"AA",-15.00,507.00
"AA",1.00,507.00
"AA",0.00,507.00
"AA",-13.00,507.00
"AA",-11.00,2300.00
"AA",32.00,2300.00
"AA",9.00,2300.00
"AA",,2300.00
"AA",155.00,2300.00
"AA",4.00,2300.00
"AA",-15.00,2300.00
"AA",-8.00,2300.00
"AA",-33.00,2300.00
"AA",-4.00,2300.00
"AA",15.00,2300.00
"AA",-51.00,2300.00
"AA",47.00,2300.00
"AA",11.00,2300.00
"AA",-44.00,2300.00
"AA",-53.00,2300.00
"AA",-25.00,2300.00
"AA",-9.00,2300.00
"AA",-10.00,2300.00
"AA",-20.00,2300.00
"AA",-30.00,2300.00
"AA",46.00,2300.00
"AA",-20.00,2300.00
"AA",-21.00,2300.00
"AA",-37.00,2300.00
"AA",-19.00,2300.00
"AA",36.00,651.00
"AA",-11.00,651.00
"AA",47.00,651.00
"AA",15.00,651.00
"AA",33.00,651.00
"AA",14.00,651.00
"AA",-25.00,651.00
"AA",25.00,651.00
"AA",72.00,651.00
"AA",58.00,651.00
"AA",-16.00,651.00
"AA",-25.00,651.00
